Wetland Name,Year,Period,Date,Julian Day,Latitude,Longitude,WQI,Volume,TURB,TSS,ISS,TP,SRP,TN,TAN,TNN
Black Rock,2010,1,2010-06-09,160,45.04449,-79.97479,1.85,28888.26,1.38,1.17,0.01,8.76,0.5,3.9,0.03,0.01
Black Rock,2010,1,2010-08-25,237,45.04449,-79.97479,2.22,48078.02,1.05,1.17,0.01,10.52,0.5,0.5,0.005,0.01
Black Rock,2019,2,2019-08-13,225,45.042301,-79.973131,3.26,113138.07,1.07,0.05,0.01,18.4,3.11,0.795,0.005,0.005
Charles Inlet,2004,1,2004-07-07,189,45.64623,-80.56799,1.18,104098.54,1.33,5.633333333,4.07,15.92,11.49,0.47,0.005,0.27
Charles Inlet,2016,2,2016-07-11,193,45.64699,-80.56639,1.88,130535.51,1.19,0.7,0.01,6.81,2.05,0.547,0.005,0.04
Corbman Bay,2006,1,2006-09-19,170,45.40907,-80.34146,1.24,80476.95,2.48,2.73,2.5,25.93,4.15,0.1,0.01,0.02
Corbman Bay,2016,2,2016-07-05,187,45.40882,-80.34135,2.03,137952.33,1.26,1.3,0.01,8.42,1.04,0.448,0.005,0.005
Cormican Bay,2006,1,2006-06-20,171,45.40607,-80.30735,0.78,722849.76,2.2,4.83,1.38,6.58,0.95,0.101,0.005,0.005
Cormican Bay,2003,1,2003-08-11,223,45.40765,-80.312883,1.86,789170.12,4.4,11.37,6.1,25.66,2.3,0.13,0.03,0.03
Cormican Bay,2016,2,2016-07-05,187,45.40574,-80.30601,2.02,910067.99,1.23,1.13,0.01,8.42,1.54,0.853,0.005,0.005
David's Bay north,2004,1,2004-09-02,246,45.0475,-80.0038,1.61,87494.48,1.08,1.967,0.033,5.89,8.698882667,0.2,0.04,0.1
David's Bay north,2015,2,2015-06-17,168,45.04739,-80.00279,1.76,107457.17,0.95,1.35,0.64,21,2.09,0.11,0.005,0.01
David's Bay small south,2006,1,2006-07-26,207,45.04436,-80.00179,1.92,17589.09,1.19,1.49,1.18,8.98,1.25,0.728,0.005,0.063
David's Bay small south,2019,2,2019-08-12,224,45.04441,-80.00229,2.78,40193.39,0.81,1.67,0.01,7.881,2.55,0.737,0.003,0.007
Ganyon Bay,2005,1,2005-08-04,216,44.92052,-79.81763,1.43,49771.34,0.99,0.05,0.01,13.39,4.1,0.716,0.01,0.01
Ganyon Bay,2009,1,2009-06-16,167,44.92049,-79.81839,1.72,52296.08,0.74,1.18,0.01,24.36,8.58,1.1,0.01,0.15
Ganyon Bay,2016,2,2016-08-15,228,44.91983,-79.81667,1.95,59985.66,4,1,0.1,13.69658401,2.974811126,1.1,0.01,0.02
Green Island,2003,1,2003-07-08,189,44.788333,-79.744033,0.91,733360.3,1.06,1.42,0.01,8.96,1.04,0.264,0.005,0.007
Green Island,2004,1,2004-06-02,154,44.788617,-79.749,1.38,858519.1,2.3,6.885,0.33,18.12514717,1.790431233,0.98,0.005,0.23
Green Island,2016,2,2016-08-24,237,44.78555,-79.74754,1.66,1083204.55,2.33,2.97,0.3,8.843642267,5.4393305,1.08,0.005,0.33
Green Island,2015,2,2015-07-09,190,44.78611,-79.74593,1.77,1021432.03,1.37,2.64,2.17,15.2,1.46,0.245,0.005,0.003
Green Island,2017,2,2017-06-21,172,44.78677,-79.74789,1.96,1094396.74,1.86,1.417,1.25,10.03,2.046,0.834,0.005,0.007
Key River 3,2006,1,2006-07-19,200,45.88612,-80.69537,1.74,167813.87,1.22,3.625,3.35,6.99,0.5,1.41,0.025,0.01
Key River 3,2016,2,2016-08-09,222,45.88541,-80.69312,1.7,360660.39,1.9,1.18,0.9,26.76,12.78,0.19,0.01,0.09
Miner's Creek,2006,1,2006-07-24,205,45.06153,-79.94913,1.77,104317.77,1.75,3.75,1.84,12.19,2.55,0.592,0.005,0.003
Miner's Creek,2015,2,2015-08-17,229,45.06179,-79.94825,2.44,136501.52,1.54,3.33,3.28,21.82,3.33,0.12,0.005,0.02
North Bay,2005,1,2005-06-15,166,44.89638,-79.79377,0.43,94273.52,1.21,3.37,2.3,12.32,1.98,0.011,0.005,0.003
North Bay,2016,2,2016-08-18,231,44.89808,-79.79376,1.83,112729.78,3.06,6.355,6.02,34.68,6.76,1.9,0.1,0.4
North Bay 1,2009,1,2009-06-15,166,44.89713,-79.79378,1.21,99723.13,1.08,6.355,6.02,8.6473169,1.1513558,0.5,0.025,0.02
North Bay 1,2017,2,2017-06-14,165,44.89806,-79.79374,1.92,111407.36,1.2,1.97,0.6,14.34,1.54,0.708,0.02,0.005
Oak Bay,2004,1,2004-06-08,160,44.7963,-79.731583,1.12,1397100.48,1.23,2.3,0.733333333,27.82720943,4.924395852,1.9,0.02,0.15
Oak Bay,2003,1,2003-07-07,188,44.7963,-79.731583,1.23,1258079.66,1.56,2.3,0.733333333,16.553,3.8,0.811,0.085,0.005
Oak Bay,2009,1,2009-06-08,159,44.79801,-79.73566,1.57,1382929.8,3.23,3.285,2.55,23.9,5.7332937,0.376,0.02,0.005
Oak Bay,2015,2,2015-07-09,190,44.79629,-79.73542,2.01,1574325.99,2.33,3.13,0.5,24.180186,6.6489457,0.705,0.02,0.33
Oak Bay,2017,2,2017-06-21,172,44.79724,-79.7333,2.81,1643630.66,0.87,2.905034325,0.7,63.899491,1,0.29,0.005,0.02
Ojibway Bay,2005,1,2005-06-14,165,44.88758,-79.85585,1.56,37424.86,1.27,2.36,1.88,13.28,1.46,0.114,0.005,0.003
Ojibway Bay,2009,1,2009-06-16,167,44.88767,-79.85721,1.83,45164.08,0.73,0.715,0.72,7.545,0.016,0.9045,0.01,0.01
Ojibway Bay,2016,2,2016-08-15,228,44.88784,-79.85737,1.78,58136.52,1.12,2.47,0.71,12.22,1.3,0.11,0.05,0.02
Ojibway Bay,2015,2,2015-07-09,190,44.8876,-79.85709,2.11,55582.6,1,1.6,0.5,11.74796433,4.924405503,0.11,0.19,0.02
PI west,2008,1,2008-07-22,184,44.79335,-79.75584,0.99,939830.78,0.73,1.44,1.33,7.52,1.98,0.617,0.005,0.005
PI west,2015,2,2015-07-09,190,44.79176,-79.75781,1.75,1071997.81,0.75,1.64,0.01,10.03,9.63,0.312,0.005,0.003
Quarry Island,2003,1,2003-07-10,191,44.834,-79.809683,1.11,17930.21,2.21,3.12,4.453333333,17.3561863,2.73,0.11,0.005,0.1
Quarry Island,2009,1,2009-06-23,174,44.8356,-79.80848,1.51,51496.57,1.79,2,2,14.72,2.5,0.408,0.005,0.005
Quarry Island,2016,2,2016-08-22,235,44.8348,-79.80934,1.45,72781.3,1.73,5.233,2.299,18.68841323,3.480229433,0.3175,0.005,0.13
Roberts Bay,2004,1,2004-06-01,153,44.8554,-79.82855,1.44,125197.83,2,2.233333333,0.73,23.00045187,6.0441381,0.57,0.02,0.37
Roberts Bay,2009,1,2009-06-15,166,44.85501,-79.83183,1.59,155735.91,4,1.138888889,0.01,14.6718662,15.8,0.2,0.11,0.01
Roberts Bay,2005,1,2005-07-05,186,44.853859,-79.831811,1.8,125197.83,0.81,6.9,3,11.11,8.64,0.436,0.005,0.007
Roberts Bay,2015,2,2015-07-09,190,44.85509,-79.82958,1.87,198046.34,3,3.133333333,0.01,21.23085067,1.77,0.77,0.01,0.57
Roberts Bay,2016,2,2016-08-22,235,44.85534,-79.83286,2.03,222648.85,1.12,1.756,0.553,6.76,0.08,0.11,0.015,0.5
Roberts Bay,2017,2,2017-07-11,192,44.855292,-79.831538,2.47,235870.82,0.88,2.866666667,0.01,19.05405623,4.437003326,0.2,0.01,0.15
Shadow Bay,2006,1,2006-07-18,199,45.94855,-80.73524,1.63,22509.98,0.89,0.72,0.01,10.4,1.98,0.255,0.025,0.017
Shadow Bay,2019,2,2019-08-06,218,45.949604,-80.733584,2.51,34923.16,0.77,1.7,0.01,7.34,3.56,0.563,0.04,0.003
Sturgeon Bay Central,2015,2,2015-08-06,218,45.61458,-80.41619,1.91,50522.32,1.043,0.05,0.01,12.876,3.32,0.999,0.015,0.01
Sturgeon Bay Central,2010,1,2010-07-06,187,45.61465,-80.41631,1.41,32501.78,0.7,1.41,1.29,26.96,3.53,0.13,0.02,0.03
Tadenac Bay B,2005,1,2005-07-19,200,45.03916,-79.98792,1.73,34366.23,1.43,0.05,0.01,16.23,9.2,0.645,0.005,0.005
Tadenac Bay B,2015,2,2015-08-17,229,45.0401,-79.98703,2.22,44089.45,8.1,6.9,2.533333333,24.32,3.761862467,0.85,0.005,0.1
Treasure Bay,2009,1,2009-06-22,173,44.869368,-79.8595,1.51,509780.28,1.08,2.07,1.97,9.92,4.06,0.475,0.005,0.01
Treasure Bay,2005,1,2005-06-14,165,44.86854,-79.86049,1.55,478081.45,1.06,0.05,0.01,6.21,3.82,0.619,0.005,0.005
Treasure Bay,2016,2,2016-08-15,228,44.87293,-79.85719,1.46,569625.1,1.07,5.344,0.01,9.08,9.461521933,0.366,0.02,0.266
Treasure Bay,2015,2,2015-07-09,190,44.87037,-79.85922,1.66,555033.14,1.92,4.1,1.4,12.83,0.08,0.11,0.03,0.02
Vennings Bay,2010,1,2010-05-26,146,44.83955,-79.77804,1.23,37584.62,6,0.966666667,0.01,24.4203016,4.437007713,0.11,0.01,0.02
Vennings Bay,2015,2,2015-07-09,190,44.84239,-79.78307,1.58,109163.57,1.16,2.19,2,18.08,1.98,0.099,0.003,0.003
Vennings Bay,2015,2,2015-07-06,187,44.8417,-79.781979,1.94,106619.24,0.88,3.44,1.54,12.19,1.54,0.449,0.005,0.005
West Bay,2003,1,2003-08-11,223,45.422283,-80.307267,0.57,68881.5,1.77,1,0.01,16.5147983,5.9619116,0.1,0.015,0.03
West Bay,2016,2,2016-07-05,187,45.42297,-80.30157,1.64,134822.56,4.31,10.18,8.08,28.63,1.98,1.37,0.005,0.005
