Wetland Code,Wetland Name,Wetland complex,Region
AL,Alexander Bay,Tadenac,Tadenac Bay
AFLOW,Around Corner of Flower's dock,Potato Island,Severn Sound
BD,Baie du Dore,Baie du Dore,Bruce Peninsula
BY1,Bayview Park 1,Tobies Bay,Honey Harbour
BY2,Bayview Park 2,Tobies Bay,Honey Harbour
BI,Bear Island,Bear Island,Sans Souci
BS2,Beausoleil Island 2,Beausoleil Island,Beausoleil Island
BST,Beausoleil Island at Turtle Bay,Beausoleil Island,Beausoleil Island
BV,Beaverstone,Beaverstone,Killarney
BBB,Big Bass Bay South,Tadenac,Tadenac Bay
BSI,Big Ship Island,Big Ship Island,Severn Sound
BTB,Big Tub,Big Tub,Fathom Five
BTBH,Big Tub Harbour,Big Tub,Fathom Five
BLR,Black Rock,Black Rock,Tadenac Bay
BG,Boat Passage,Cove Island,Fathom Five
BIN,Bone Island North Channel,Bone Island,Severn Sound
BM,Boom Camp,Boom Camp,North Channel
BOY,Boyne River,Isabella Island,Parry Island
CA,Canary Island,Canary Island,Severn Sound
CAC,Captain Allan Channel,Moon Bay,Rawson-Woods-Moon
CSW,Caswell Bay,Caswell Bay,Parry Island
CV,Cedarville,Mismer Bay,Huron
CHI,Charles Inlet,Charles Inlet,Naiscoot
CFR,Coffin Rock,Tadenac,Wah Wah Tay See
CGL,Cognashene Lake,Cognashene Lake,Cognashene
CO,Collingwood Harbour,Collingwood,Severn Sound
CRB,Corbman Bay,Corbman  Bay,Franklin Island
CM,Cormican Bay,Cormican Bay,Franklin Island
CN,Cove Island North,Cove Island,Fathom Five
CD,Cow Island,Cow Island,Bay of Islands
1,CRAIG 1,Craig & Black,Severn Sound
10,CRAIG 10,Craig & Black,Severn Sound
11,CRAIG 11,Craig & Black,Severn Sound
12,CRAIG 12,Craig & Black,Severn Sound
13,CRAIG 13,Craig & Black,Severn Sound
14,CRAIG 14,Craig & Black,Severn Sound
15,CRAIG 15,Craig & Black,Severn Sound
16,CRAIG 16,Craig & Black,Severn Sound
17,CRAIG 17,Craig & Black,Severn Sound
18,CRAIG 18,Craig & Black,Severn Sound
2,CRAIG 2,Craig & Black,Severn Sound
3,CRAIG 3,Craig & Black,Severn Sound
4,CRAIG 4,Craig & Black,Severn Sound
5,CRAIG 5,Craig & Black,Severn Sound
8,CRAIG 8,Craig & Black,Severn Sound
9,CRAIG 9,Craig & Black,Severn Sound
DV,David's Bay,David's Bay,Wah Wah Tay See
DH,Dead Horse Bay,Dead Horse Bay,McGregor Bay
DE1,Deep Bay 1,Deep Bay,Parry Island
DE3,Deep Bay 3,Deep Bay,Parry Island
DI,Deer Island,Deer Island,Killarney
DF,Dogfish Bay,Dogfish Bay,Bay of Islands
ED,East Desjardin Bay,East Desjardin,Killarney
EB,Echo Bay,Echo Bay,North Channel
FKI,Faulkner Island,Faulkner Island,Sans Souci
FL,Flat Point,Flat Point,Bay of Islands
FLOW,Flower's dock,Potato Island,Severn Sound
FIN,Foster Island North,Kenrick Bay,Norgate
FP,Francis Point,Francis Point,Franklin Island
FRKI,Franklin Island,Franklin Island,Franklin Island
FRM,French River Main,French River,French River
GP,Gagan's Pond,Gagan's Pond,French River
GY,Ganyon Bay,Ganyon Bay,Cognashene
GC,Garden Channel,Garden Channel,Sans Souci
GB01,GBT01,Twelve Mile Bay,Twelve Mile Bay
GB02,GBT02,Severn Sound,Severn Sound
GB03,GBT03,Tadenac,Tadenac Bay
GB12,GBT12,Twelve Mile Bay,Twelve Mile Bay
GB15,GBT15,Wilson's Bay,Go Home Bay
GB17,GBT17,Go Home Bay,Go Home Bay
GB22,GBT22,Cognashene Lake,Cognashene
GB25,GBT25,Long Bay,Beausoleil Island
GB28,GBT28,Tonch Sound,Beausoleil Island
GB30,GBT30,Turning Rock Bay,Beausoleil Island
GB31,GBT31,Wana Keta Bay,Beausoleil Island
GB33,GBT33,North Bay,North Bay
GB39,GBT39,Green Island,Severn Sound
GB41,GBT41,Oak Bay,Severn Sound
GB42,GBT42,Longuissa Bay,Cognashene
GB43,GBT43,Longuissa Bay,Cognashene
GB48,GBT48,Green Island,Severn Sound
GB49,GBT49,Evergreen Bay,Severn Sound
GB50,GBT50,Severn Sound,Severn Sound
GB55,GBT55,Woods Landing,North Bay
GRO,Giroux River Outlet,Kenrick Bay,Norgate
GH,Go Home Bay,Go Home Bay,Go Home Bay
GN,Goose Neck Bay,Goose Neck Bay,Sans Souci
GRA,Grapps Marsh,Portage Bay,Rawson-Woods-Moon
GI,Green Island,Green Island,Severn Sound
GI2,Green Island (SE),Green Island,Severn Sound
HB1,Hay Bay 1,Hay Bay,Fathom Five
HB2,Hay Bay 2,Hay Bay,Fathom Five
HB3,Hay Bay 3,Hay Bay,Fathom Five
HEM,Hemlock Bay,Hemlock Bay,Pointe au Baril
HI1,Henvey Inlet 1,Henvey Inlet,Henvey Inlet
HI2,Henvey Inlet 2,Henvey Inlet,Henvey Inlet
HI3,Henvey Inlet 3,Henvey Inlet,Henvey Inlet
HI4,Henvey Inlet 4,Henvey Inlet,Henvey Inlet
HI5,Henvey Inlet 5,Henvey Inlet,Henvey Inlet
HI5A,Henvey Inlet 5A,Henvey Inlet,Henvey Inlet
HI5B,Henvey Inlet 5B,Henvey Inlet,Henvey Inlet
HI6,Henvey Inlet 6,Henvey Inlet,Henvey Inlet
HI7,Henvey Inlet 7,Henvey Inlet,Henvey Inlet
HI8,Henvey Inlet 8,Henvey Inlet,Henvey Inlet
HI9,Henvey Inlet 9,Henvey Inlet,Henvey Inlet
HRM,Hermann's Bay,Hermann's Bay,Twelve Mile Bay
HS,Hockeystick Bay,Hockey Stick,Cognashene
HG,Hog Bay,Hog Bay,Severn Sound
HW,Hole in the Wall,Hole in the Wall,Pointe au Baril
HDW,Howdenvale Bay,Howdenvale Bay,Bruce Peninsula
HOW,Howl Island,Howl Island,Sans Souci
IB,Ingersoll Bay,Ingersoll Bay,Parry Island
TB-Inner,Inner Treasure Bay,Treasure Bay,Beausoleil Island
INK,Inukshuk Bay,Inukshuk,Pointe au Baril
IO,Iona Island,Iona Island,Sans Souci
IQ,Iroquois Bay,Iroquois Island,McGregor Bay
IP,Isle of Pines,Isle of Pines,Naiscoot
JW,Jay's Wetland,Jay's Wetland,Sans Souci
JR,Jergens Island,Champlain Monument Island,Pointe au Baril
JU,Juanita Is South,Juanita Island,Severn Sound
JB,Jumbo Bay,Jumbo Bay,Bay of Islands
KB,Kenerick Bay,Kenerick Bay,Norgate
KE,Key River,Key River,Key River
KE1,Key River 1,Key River,Key River
KE2,Key River 2,Key River,Key River
KE3,Key River 3,Key River,Key River
KBM1,King Bay Marina 1,King Bay,Wah Wah Tay See
KBM2,King Bay Marina 2,King Bay,Wah Wah Tay See
KBM3,King Bay Marina 3,King Bay,Wah Wah Tay See
KC,Kirk Creek,Kirk Creek,McGregor Bay
LAC,La Cloche - Sturgeon,La Cloche Island,Bay of Islands
LACin,La Cloche (inner),La Cloche Island,Bay of Islands
LACout,La Cloche (outter),La Cloche Island,Bay of Islands
LSP,Lake St. Patrick,Lake St. Patrick,Go Home Bay
LY,Lily Pond,Lily Pond,Honey Harbour
LY1,Lily Pond 1,Lily Pond,Honey Harbour
LY2,Lily Pond 2,Lily Pond,Honey Harbour
LTC,Little Current,Little Current,Manitoulin
LG,Longuissa Bay,Longuissa Bay,Cognashene
LCH,Lost Channel,Lost Channel,Naiscoot
MCY,Maceys Bay,Macey's Bay,Severn Sound
MCY2,Maceys Bay 2,Macey's Bay,Severn Sound
MCK,Mackenzie Island,Champlain Monument Island,Pointe au Baril
MKB,Mackinac Bay,Mackinac Bay,Huron
MGS,Magnetawan River South,Magnetawan,Norgate
HNY,Mainland near Honey Harbour,Honey Harbour,Honey Harbour
MI,Marshal Island,Marshal Island,Severn Sound
MB,Matchedash Bay,Matchedash Bay,Severn Sound
MNC,Miner's Creek,Miner's Creek,Tadenac Bay
MM,Mismer,Mismer Bay,Huron
MBY2,Moon Bay 2,Moon River,Rawson-Woods-Moon
MR,Moon River,Moon River,Rawson-Woods-Moon
MR1,Moon River 1,Moon River,Rawson-Woods-Moon
MR2,Moon River 2,Moon River,Rawson-Woods-Moon
MRF,Moon River Falls,Moon River,Rawson-Woods-Moon
MPN,Moore Point North,Moore Point,Severn Sound
MPS,Moore Point South,Moore Point,Severn Sound
ME,Moose Bay,Moose Bay,Wah Wah Tay See
MDP,Moose Deer Point,Twelve Mile Bay,Twelve Mile Bay
MDP1,Moose Deer Point 1,Twelve Mile Bay,Twelve Mile Bay
MDP2,Moose Deer Point 2,Twelve Mile Bay,Twelve Mile Bay
MO,Moreaus Bay,Moreaus Bay,Go Home Bay
MDC,Mud Channel,Franklin Island,Franklin Island
MS,Musky Bay,Musky Bay,Severn Sound
MS2,Musky Bay 2,Musky Bay,Severn Sound
NN1,Naiscoot North 1,Naiscoot River,Naiscoot
NN2,Naiscoot North 2,Naiscoot River,Naiscoot
NS,Naiscoot South,Naiscoot River,Naiscoot
NI,Ni Bay,Ni Bay,Pointe au Baril
NIG,Nightingale Bay,Nightingale Bay,Rawson-Woods-Moon
NO,Norgate,Norgate,Pointe au Baril
NB,North Bay,North Bay,North Bay
NB1,North Bay 1,North Bay,North Bay
NB2,North Bay 2,North Bay,North Bay
NB3,North Bay 3,North Bay,North Bay
NB4W,North Bay 4 West,Deer Island,North Bay
NB5,North Bay 5,North Bay,North Bay
OB,Oak Bay,Oak Bay,Severn Sound
OJ,Ojibway Bay,Ojibway Bay,Beausoleil Island
OL,Oliphant Bay,Oliphant Bay,Bruce Peninsula
OT,Otter Bay,Otter Bay,French River
PA1,Parry Island 1,Parry Island,Parry Island
PA2,Parry Island 2,Parry Island,Parry Island
PA3,Parry Island 3,Parry Island,Parry Island
PW,Pentwater,Pentwater,Huron-Manistee
PE,Peshtigo,Peshtigo,Green Bay
PEI,Phillip Edward Island,Philip Edward Island,Killarney
PIC1,Picnic Island 1,Picnic Island,Severn Sound
PIC2,Picnic Island 2,Picnic Island,Severn Sound
PR,Port Rawson,Port Rawson,Rawson-Woods-Moon
PRE,Port Rawson East,Port Rawson,Rawson-Woods-Moon
PRW,Port Rawson West,Port Rawson,Rawson-Woods-Moon
PC,Portage Creek,Little Bay de Noc,Bay de Noc
POT,Potato Island,Potato Island,Severn Sound
PRI,Priest Bay,Priest Bay,McGregor Bay
PQN,Prisque Bay North,Prisque Bay,Norgate
PQS,Prisque Bay South,Prisque Bay,Norgate
QI,Quarry Island,Quarry Island,Severn Sound
RAB,Ragged Bight,Hay Bay,Fathom Five
RAT,Rathlyn Island,Rathlyn Island,Pointe au Baril
RSB,Red Sand Bay,Red Sand Bay,McGregor Bay
RM2,Rhodes Marsh 2,Rhodes Marsh,Pointe au Baril
RB,Roberts Bay,Robert's Bay,Severn Sound
RB1,Roberts Bay 1,Robert's Bay,Severn Sound
RB2,Roberts Bay 2,Robert's Bay,Severn Sound
RB3,Roberts Bay 3,Robert's Bay,Severn Sound
RS,Roseborough,Roseborough,Go Home Bay
RUE,Russel Island East,Russel Island,Fathom Five
RUW,Russel Island West,Russel Island,Fathom Five
SNP,Salt 'n Pepper,Salt 'n Pepper,Norgate
SND,Sand Channel,Sand Channel,Naiscoot
SI,Sandy Island,Sandy Island,Parry Island
SIL,Sandy Island Lake,Sandy Island,Parry Island
SIW,Sandy Island West,Sandy Island,Parry Island
STHB,Sarah Thomasen Bay,Tadenac Bay,Tadenac Bay
SHW,Shadow Bay,Shadow Bay,French River
SW3,Shawanaga Inlet 3,Shawanaga,Pointe au Baril
SWI,Shawanaga Island,Shawanaga,Pointe au Baril
SHR,Shawanaga River,Shawanaga,Pointe au Baril
SOL,Solomons Bay,Solomons Bay,Killarney
SB1,South Bay 1,South Bay,North Bay
SBC1,South Bay Cove 1,South Bay,North Bay
SBC2,South Bay Cove 2,South Bay,North Bay
SBC3,South Bay Cove 3,South Bay,North Bay
SBC4,South Bay Cove 4,South Bay,North Bay
SBM,South Bay Marina,South Bay,North Bay
SR,Spanish River,Spanish River,North Channel
SBA,Spider Bay at Anthony Island,Spider Bay,Sans Souci
SLP,Spider Lake Portage,Spider Bay,Sans Souci
SIS,Strawberry Island,Strawberry Island,Manitoulin
STB,Sturgeon Bay at Bigwood Island,Sturgeon Bay,Pointe au Baril
STCR,Sturgeon Bay Central,Sturgeon Bay,Pointe au Baril
STCR1,Sturgeon Bay Central 1,Sturgeon Bay,Pointe au Baril
STCR2,Sturgeon Bay Central 2,Sturgeon Bay,Pointe au Baril
STCH,Sturgeon Bay Channel,Sturgeon Bay,Pointe au Baril
STS,Sturgeon Bay South,Sturgeon Bay,Severn Sound
SJ,Sugar John,Sugar John,Killarney
TD,Tadenac Bay,Tadenac Bay,Tadenac Bay
TD1,Tadenac Bay 1,Tadenac Bay,Tadenac Bay
TD2,Tadenac Bay 2,Tadenac Bay,Tadenac Bay
TD3,Tadenac Bay 3,Tadenac Bay,Tadenac Bay
TDL,Tadenac Lake,Tadenac Lake,Tadenac Bay
TH1,Thompson Marina 1,Thompson,Naiscoot
TH2,Thompson Marina 2,Thompson,Naiscoot
TH3,Thompson Marina 3,Thompson,Naiscoot
TH4,Thompson Marina 4,Thompson,Naiscoot
THB,Thunder Bay,Thunder Bay,Tadenac Bay
THB2,Thunder Bay 2,Thunder Bay,Tadenac Bay
TON,Tonches Island,Tonches Island,Honey Harbour
TB,Treasure Bay,Treasure Bay,Beausoleil Island
TBN,Treasure Bay North,Treasure Bay,Beausoleil Island
TWB,Twelve Mile Bay,Twelve Mile Bay,Twelve Mile Bay
VAN,Vanderdasson Island,Vanderdasson Island,Sans Souci
VE,Vennings Bay,Vennings Bay,Severn Sound
VB,Vincent's Bunk,Vincent's Bunk,Bay of Islands
WAP,Waldon's Pond,Waldon's Pond,French River
WAR,Wardrope Island,Wardrope Island,McGregor Bay
WTF,Waterfall Bay,Waterfall Bay,Pointe au Baril
WE,West Bay,West Bay,Franklin Island
WEM,West Bay McGregor,West Bay McGregor,McGregor Bay
WW,Wigwam Bay,Wigwam Bay,Saginaw Bay
WIL,Wilson's Bay,Wilson's Bay,Go Home Bay
WOL,Wolverine Beach,Tobies Bay,Honey Harbour
WOLM,Wolverine Beach Marina,Tobies Bay,Honey Harbour
WO,Woods Bay,Woods Bay,Rawson-Woods-Moon
